name,cas,formula,mw,note,family,descriptors,smiles
Hedione (methyl dihydrojasmonate),24851-98-7,C13H22O3,226.32,heart,jasmine,"jasmine, radiant, magnolia, airy",
Skatole,83-34-1,C9H9N,131.18,base,animalic,"fecal (trace), animalic, floral in dilution",Cc1c[nH]c2ccccc12
Coumarin,91-64-5,C9H6O2,146.14,base,tonka,"hay, almond, tonka, warm sweet",O=c1ccc2ccccc2o1
Vanillin,121-33-5,C8H8O3,152.15,base,gourmand,"vanilla, sweet, creamy, balsamic",COc1cc(C=O)ccc1O
Ethyl vanillin,121-32-4,C9H10O3,166.18,base,gourmand,"vanilla, intense, sweet",CCOc1cc(C=O)ccc1O
Cashmeran,33704-61-9,C14H22O,206.33,base,musk,"musky, woody, spicy, pine",
Sandalore,65113-99-7,C14H26O,210.36,base,sandalwood,"sandalwood, creamy, woody, musky",
Benzyl benzoate,120-51-4,C14H12O2,212.25,base,balsamic,"balsamic, faint sweet, fixative",O=C(OCc1ccccc1)c1ccccc1
Cedrol,77-53-2,C15H26O,222.37,base,woody,"cedarwood, dry, soft woody",
Patchoulol,5986-55-0,C15H26O,222.37,base,woody/earthy,"patchouli, earthy, woody, camphor",
Javanol,198404-98-7,C15H26O,222.37,base,sandalwood,"sandalwood, rich, creamy, musky",
Benzyl salicylate,118-58-1,C14H12O3,228.25,base,balsamic,"soft floral, balsamic, powdery",O=C(OCc1ccccc1)c1ccccc1O
Iso E Super,54464-57-2,C16H26O,234.38,base,woody amber,"cedar, velvety, ambergris, smooth",
Ambroxide (Ambroxan),6790-58-5,C16H28O,236.4,base,amber,"ambergris, woody, warm, dry",
Muscone,541-91-3,C16H30O,238.41,base,musk,"musk, warm, animalic, powdery",
Civetone,542-46-1,C17H30O,250.43,base,animalic,"civet, animalic, warm musk",
Ambrettolide,7779-50-2,C16H28O2,252.4,base,musk,"musk, soft, sweet, natural",
Galaxolide (HHCB),1222-05-5,C18H26O,258.4,base,musk,"clean musk, sweet, floral, soft",
Tonalide (AHTN),1506-02-1,C18H26O,258.4,base,musk,"clean musk, sweet, woody",
Ethylene brassylate,105-95-3,C15H26O4,270.37,base,musk,"musk, sweet, soft, powdery",
